Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Heat_Type_Desc,Line_
514,    129,    112,      0,       ,11 PINE TRL,1010,1,2,1834,Forced Air-Duc,1
518,    129,    116,      0,       ,374 LOST LAKE DR,1010,1,2,2872,Forced Air-Duc,1
520,    130,     28,      0,       ,386 LOST LAKE DR,1010,1,1.75,2401,Forced Air-Duc,1
521,    129,    118,      0,       ,31 PINE TRL,1010,1,2,2931,Forced Air-Duc,1
522,    129,    119,      0,       ,35 PINE TRL,1010,1,1.75,1917,Forced Air-Duc,1
526,    129,    111,      0,       ,409 LOST LAKE DR,1010,1,2,3609,Forced Air-Duc,1
527,    130,     31,      0,       ,423 LOST LAKE DR,1010,1,2,2254,Forced Air-Duc,1
528,    130,     34,      0,       ,431 LOST LAKE DR,1010,1,2,2752,Forced Air-Duc,1
530,    130,     36,      0,       ,437 LOST LAKE DR,1010,1,1,1755,Electr Basebrd,1
536,    129,    109,      0,       ,365 LOST LAKE DR,1010,1,1.75,1591,Hot Water,1
537,    130,     26,      0,       ,400 LOST LAKE DR,1010,1,2,2211,Forced Air-Duc,1
539,    130,      7,      0,       ,57 PINE TRL,1010,1,2,2221,Forced Air-Duc,1
540,    130,     22,      0,       ,452 LOST LAKE DR,1010,1,2,2223,Forced Air-Duc,1
542,    130,     19,      0,       ,470 LOST LAKE DR,1010,1,2,1728,Forced Air-Duc,1
547,    130,      5,      0,       ,53 PINE TRL,1010,1,2,1374,Forced Air-Duc,1
549,    130,     88,      0,       ,52 PINE TRL,1010,1,2,1824,Electr Basebrd,1
550,    130,     85,      0,       ,58 PINE TRL,1040,1,1,1080,Hot Water,1
555,    130,     13,      0,       ,474 LOST LAKE DR,1010,1,1,1104,Hot Water,1
556,    130,     77,      0,       ,76 PINE TRL,1010,1,2,1664,Forced Air-Duc,1
557,    130,     76,      0,       ,80 PINE TRL,1010,1,2,2240,Forced Air-Duc,1
559,    130,     37,      0,       ,453 LOST LAKE DR,1010,1,1.75,2549,Hot Water,1
