"USECODE","FUELTYPE","AREASQ"
"010","Oil",4000
"970","Typical",3420
"970","Typical",3520
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",3560
"970","Typical",4800
"322","Coal or Wood",11250
"322","Gas",8864
"934","Typical",14431
"322","Gas",9660
"322","Oil",11700
"931","Oil",700
"340","Gas",3150
"340","Gas",8700
"340","Gas",1034
"340","Gas",2026
"400","Oil",4416
"912","Typical",30158
"353","Oil",4800
"322","Gas",12855
"321","Oil",1092
"322","Gas",113406
"322","Gas",2500
"010","NONE",564
"340","Gas",2974
"400","Oil",15000
"400","Oil",17696
"340","Oil",5189
"032","Gas",3601
"400","Gas",23651
"332","Gas",3780
"961","Gas",23947
"961","Typical",7310
"340","Gas",60186
"323","Oil",21284
"934","Oil",13165
"934","Typical",4452
"934","Typical",15665
"316","Electric",2600
"400","Gas",29175
"034","Oil",2806
"400","Gas",19550
"353","Oil",2880
"316","Oil",1800
"316","Gas",970
"031","Oil",6790
"957","Typical",6976
"340","Oil",2634
"322","Oil",3150
"316","Typical",42500
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"112","Gas",99230
"316","Gas",24986
"316","Gas",24986
"316","Gas",24986
"316","Gas",24986
"931","Typical",1248
"353","Oil",2536
"353","Oil",2544
"341","Gas",2014
"322","Oil",3310
"341","Gas",2856
"340","Oil",5932
"340","NONE",3328
"400","Oil",2560
"960","Typical",32705
"353","Oil",1502
"324","Gas",64414
"931","Typical",2492
"342","Gas",22500
"332","Gas",8500
"322","Coal or Wood",34815
"400","Gas",19696
"322","Oil",2740
"323","Gas",56853
"400","Gas",10320
"112","Oil",8280
"931","Oil",39412
"316","Oil",5346
"340","Gas",31437
"340","Gas",31437
"340","Gas",31437
"340","Gas",31437
"112","Electric",7672
"400","Gas",93664
"956","Typical",26469
"013","Oil",6198
"353","Oil",3600
"340","Oil",2705
"352","Oil",3632
"010","Oil",3750
"400","Oil",10800
"112","Oil",10744
"326","Oil",4420
"326","Oil",3134
"960","Typical",6612
"342","Gas",3422
"304","Gas",31719
"112","Gas",342
"332","Oil",3070
"322","Coal or Wood",3000
"934","Typical",1222
"335","NONE",3107
"316","Coal or Wood",523840
"316","Oil",400
"316","Oil",527
"316","Oil",9499
"316","Oil",180
"400","Oil",95850
"316","Coal or Wood",6642
"316","Gas",30428
"316","Gas",158338
"316","Gas",158338
"316","Gas",158338
"316","Gas",158338
"316","NONE",10000
"322","Gas",7470
"400","Oil",7705
"400","Electric",1820
"400","Oil",7400
"071","NONE",400
"400","Oil",13112
"326","Gas",7266
"400","Gas",24880
"340","Oil",2242
"322","Oil",2580
"342","Gas",21072
"316","Oil",37442
"316","Gas",17302
"316","Gas",105408
"342","Gas",27969
"400","Gas",12621
"400","Oil",71177
"322","Gas",25496
"316","Oil",11892
"958","Typical",8144
"958","Typical",30924
"322","Oil",3150
"400","Oil",16320
"316","Oil",15420
"960","Typical",3295
"960","Gas",2700
"960","Gas",8296
"316","Oil",10000
"112","Oil",3248
"112","Oil",3248
"112","Oil",3248
"112","Oil",12808
"322","Oil",2500
"334","Oil",1986
"400","Gas",6064
"400","Gas",8166
"400","Gas",16330
"400","Gas",26815
"934","Typical",0
"934","Typical",0
"934","Typical",0
"934","Typical",0
"934","Typical",100045
"112","Oil",434
"112","Oil",748
"112","Oil",1426
"112","Oil",4300
"112","Oil",9913
"332","Oil",1484
"340","Oil",1672
"322","Gas",11011
"957","Typical",11640
"316","Oil",2660
"040","Gas",3756
"341","Electric",359
"326","Oil",3524
"400","Gas",293814
"400","Gas",293814
"400","Gas",293814
"400","Gas",293814
"060","Electric",462
"060","Gas",1200
"060","Oil",8040
"060","Oil",824
"060","Electric",704
"060","Oil",3796
"060","Oil",5400
"060","Oil",8120
"060","Oil",10500
"910","Typical",2920
"321","Oil",2800
"322","Oil",2900
"935","Typical",2096
"316","Gas",527
"917","Gas",125096
"917","Gas",1575
"917","Typical",1575
"917","Typical",1914
"917","Typical",2560
"917","Typical",5412
"917","Typical",5530
"917","Typical",5760
"917","Typical",6236
"917","Typical",6304
"917","Typical",21004
"917","Typical",21004
"917","Typical",21004
"917","Typical",21048
"917","Typical",21768
"917","Typical",26438
"917","Typical",33234
"917","Typical",60197
"917","Typical",60197
"917","Typical",67466
"917","Typical",72642
"917","Typical",79282
"917","Typical",99342
"917","Typical",100297
"917","Typical",145025
"342","Gas",1865
"601","Typical",92164
"032","Oil",2400
"961","Gas",3514
"961","Gas",14300
"060","Oil",3969
"401","Gas",33451
"103","Gas",4900
"103","Gas",2825
"388","Electric",100
"340","Gas",7070
"972","Typical",3580
"342","Oil",15180
"931","Gas",9935
"931","Oil",2804
"355","Oil",11017
"400","Gas",23152
"400","Gas",23152
"400","Gas",23152
"400","Gas",23152
"010","NONE",1852
"340","Gas",83695
"340","Gas",9120
"400","Gas",2100
"400","Gas",22000
"400","Gas",6600
"316","Oil",43432
"032","Gas",2640
"322","Oil",15024
"322","Gas",21292
"322","Oil",3220
"322","Gas",4000
"322","Oil",1280
"400","Oil",19820
"400","Gas",5000
"900","Oil",19956
"322","Oil",7111
"322","Coal or Wood",3720
"400","Oil",12000
"112","Electric",10974
"400","Gas",9600
"400","Gas",12488
"400","Gas",2400
"400","Gas",6450
"400","Gas",10800
"400","Gas",17080
"400","Gas",64069
"400","Gas",9600
"316","Oil",4000
"316","Gas",22012
"322","Oil",2808
"112","Electric",8224
"112","Electric",3840
"112","Electric",3840
"112","Electric",7680
"112","Electric",7680
"112","Electric",7680
"112","Electric",7680
"112","Electric",7680
"322","Oil",13960
"011","Electric",4235
"340","Oil",5454
"034","Oil",8736
"400","Gas",43700
"322","Oil",1060
"322","Oil",1200
"332","Oil",3475
"010","Gas",2606
"011","Oil",7392
"971","Typical",1056
"340","Gas",712
"340","Gas",1500
"322","Gas",1532
"960","Typical",11536
"341","Oil",5733
"400","Typical",27200
"400","Typical",39055
"960","Oil",9215
"960","Gas",8561
"316","Coal or Wood",5040
"316","Oil",9087
"960","Oil",3130
"960","Oil",13844
"805","Gas",8352
"032","Oil",1827
"322","Oil",1170
"400","Oil",6250
"330","Oil",3880
"400","Oil",7350
"322","Gas",8960
"322","Gas",3973
"340","Gas",2454
"354","Gas",3000
"354","Gas",1320
"354","Coal or Wood",7086
"322","Oil",5090
"340","Gas",1880
"401","Gas",36542
"112","Oil",10182
"326","Gas",5100
"334","NONE",3600
"334","NONE",3600
"334","NONE",3600
"334","NONE",3600
"334","Oil",1728
"334","Gas",2112
"316","Gas",2856
"400","Gas",4179
"913","Gas",1121
"913","Gas",3600
"913","Gas",6708
"913","Gas",8400
"913","Gas",9752
"913","Gas",31833
"913","Gas",76655
"913","Gas",0
"013","Gas",33147
"316","Oil",7440
"013","Typical",3648
"955","Gas",1930
"332","Oil",22000
