Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	1010	Single Fam  MDL-01	1		7	Modern/Contemp	1835	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		7	Modern/Contemp	2758	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		94	Outbuildings	2280	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	0	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	416	3	Gas	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	513	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	575	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	597	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	612	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	624	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	640	3	Gas	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	660	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	660	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	670	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	672	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	672	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	672	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	675	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	684	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	690	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	690	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	720	2	Oil	4	Forced Air-Duc
