"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"400",NA,6500,1
"400",NA,3560,1
"400",NA,82944,2
"321",NA,13872,1
"400",NA,3570,1
"316",NA,199579,1
"400",NA,78770,2
"316",NA,123232,4
"340",NA,95114,2
"405",NA,16172,2
"405",NA,6728,1
"405",NA,13722,1
"405",NA,8940,1
"405",NA,576,1
"405",NA,65826,2
"405",NA,2679,1
"405",NA,51150,1
"405",NA,23788,2
"405",NA,37900,2
"405",NA,9790,1
"405",NA,10150,1
"405",NA,11840,1
"405",NA,12270,1
"405",NA,3780,1
"316",NA,227370,3
"316",NA,67176,1
"316",NA,68402,1
"316",NA,80226,1
"400",NA,5236,2
"400",NA,15192,2
"400",NA,4878,1
"400",NA,6536,2
"400",NA,5423,1
"400",NA,4742,1
"400",NA,44768,3
"400",NA,19914,1
"400",NA,12750,1
"400",NA,25829,2
"400",NA,12910,2
"400",NA,75621,3
"400",NA,26034,3
"400",NA,69392,3
"400",NA,52392,1
"400",NA,97268,1
"400",NA,41258,1
"400",NA,6500,1
"931",NA,6802,2
"931",NA,3256,1
"332",NA,7172,2
"031",NA,10364,2
"400",NA,33151,2
"400",NA,11079,2
"332",NA,7480,1
"400",NA,3600,1
"341",NA,5857,3
"316",NA,51722,3
"316",NA,4000,1
"400",NA,24480,4
"401",NA,26720,2
"401",NA,16300,2
"400",NA,12542,1
"316",NA,26448,3
"400",NA,59218,2
"400",NA,1908,1
"340",NA,6840,3
"111",NA,6752,3
"013",NA,3982,3
"332",NA,1480,1
"013",NA,3663,3
"013",NA,4848,3
"326",NA,832,1
"111",NA,7425,3
"111",NA,5501,3
"013",NA,10420,3
"013",NA,4494,3
"353",NA,9200,1
"031",NA,4258,3
"013",NA,5202,3
"316",NA,6184,1
"345",NA,7030,1
"325",NA,10350,1
"400",NA,31904,2
"325",NA,3450,1
"400",NA,10130,1
"316",NA,15881,1
"316",NA,5016,1
"334",NA,3071,1
"332",NA,6840,2
"332",NA,1750,1
"332",NA,8056,1
"332",NA,2580,1
"332",NA,5740,2
"400",NA,2868,1
"332",NA,2730,1
"400",NA,5656,1
"332",NA,10240,1
"031",NA,2400,2
"013",NA,3694,3
"013",NA,1500,1
"013",NA,4617,3
"013",NA,5357,3
"332",NA,4450,1
"332",NA,2880,2
"400",NA,4100,1
"316",NA,240,1
"316",NA,7550,3
"112",NA,15845,3
"400",NA,15312,2
"340",NA,5184,1
"338",NA,4000,1
"031",NA,2700,2
"013",NA,3456,3
"332",NA,5225,1
"400",NA,4931,2
"340",NA,8704,1
"340",NA,5634,2
"111",NA,5813,3
"112",NA,9276,3
"112",NA,24480,3
"960",NA,5568,1
"013",NA,4788,2
"013",NA,800,1
"400",NA,1400,1
"013",NA,3801,3
"013",NA,5457,3
"970",NA,5112,1
"970",NA,2109,1
"970",NA,5688,1
"970",NA,897,1
"111",NA,7802,4
"013",NA,14016,3
"345",NA,2012,1
"345",NA,1318,1
"345",NA,1938,1
"345",NA,1628,1
"405",NA,1202,1
"405",NA,1210,1
"405",NA,1610,1
"405",NA,1223,1
"405",NA,1420,1
"405",NA,1694,1
"405",NA,1397,1
"405",NA,1228,1
"405",NA,6132,1
"405",NA,3143,1
"345",NA,3006,1
"345",NA,7500,1
"951",NA,1830,2
"959",NA,10538,3
"031",NA,7401,2
"031",NA,2272,2
"013",NA,6880,3
"111",NA,7150,2
"960",NA,5744,2
"013",NA,5459,3
"112",NA,10208,3
"316",NA,2844,2
"951",NA,20131,2
"906",NA,17340,3
"400",NA,132671,1
"400",NA,40708,1
"400",NA,35024,1
"951",NA,70138,4
"951",NA,39500,4
"951",NA,124552,4
"316",NA,156586,2
"316",NA,182380,2
"323",NA,12160,1
